id,number_of_epochs,model,architecture,object,optimizer,loss,learning_rate,sequence_len,number_of_layers,test_r2
1,50,generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,2,0.9342723527997655
1,100,generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,2,0.9410646267321663
1,200,generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,2,0.9294779076745407
1,400,generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,2,0.9206585440739682
2,50,generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,4,0.9519454574987166
2,100,generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,4,0.9451068462477672
2,200,generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,4,0.9209860501859577
2,400,generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,4,0.9463727788633263
7,50,generation,LSTM,solar_30k,Adam,MAE,0.001,12,2,0.9617477955387858
7,100,generation,LSTM,solar_30k,Adam,MAE,0.001,12,2,0.9618562637738846
7,200,generation,LSTM,solar_30k,Adam,MAE,0.001,12,2,0.9640396472720905
7,400,generation,LSTM,solar_30k,Adam,MAE,0.001,12,2,0.9418201799572629
8,50,generation,LSTM,solar_30k,Adam,MAE,0.001,12,4,0.9491634493590047
8,100,generation,LSTM,solar_30k,Adam,MAE,0.001,12,4,0.958956893721228
8,200,generation,LSTM,solar_30k,Adam,MAE,0.001,12,4,0.9612880661752679
8,400,generation,LSTM,solar_30k,Adam,MAE,0.001,12,4,0.9525745970482478
9,50,generation,LSTM,solar_30k,Adam,MAE,0.001,24,2,0.956509327201352
9,100,generation,LSTM,solar_30k,Adam,MAE,0.001,24,2,0.9502237851363725
9,200,generation,LSTM,solar_30k,Adam,MAE,0.001,24,2,0.9362920088403575
9,400,generation,LSTM,solar_30k,Adam,MAE,0.001,24,2,0.9060268528904961
10,50,generation,LSTM,solar_30k,Adam,MAE,0.001,24,4,0.9340995922638022
10,100,generation,LSTM,solar_30k,Adam,MAE,0.001,24,4,0.938330198269442
10,200,generation,LSTM,solar_30k,Adam,MAE,0.001,24,4,0.9357387146548852
10,400,generation,LSTM,solar_30k,Adam,MAE,0.001,24,4,0.9331976839365118
11,50,generation,LSTM,solar_30k,Adam,MAE,0.001,36,2,0.9485138781673894
11,100,generation,LSTM,solar_30k,Adam,MAE,0.001,36,2,0.946117652260413
11,200,generation,LSTM,solar_30k,Adam,MAE,0.001,36,2,0.92712284323565
11,400,generation,LSTM,solar_30k,Adam,MAE,0.001,36,2,0.9151258740094869
12,50,generation,LSTM,solar_30k,Adam,MAE,0.001,36,4,0.9303856077980946
12,100,generation,LSTM,solar_30k,Adam,MAE,0.001,36,4,0.9244452758826962
12,200,generation,LSTM,solar_30k,Adam,MAE,0.001,36,4,0.9313167560147857
12,400,generation,LSTM,solar_30k,Adam,MAE,0.001,36,4,0.9369875258429431
13,50,generation,GRU,solar_30k,Adam,MAE,0.001,12,2,0.9646636204670631
13,100,generation,GRU,solar_30k,Adam,MAE,0.001,12,2,0.9673169108025457
13,200,generation,GRU,solar_30k,Adam,MAE,0.001,12,2,0.9675899747028973
13,400,generation,GRU,solar_30k,Adam,MAE,0.001,12,2,0.9417872298575823
14,50,generation,GRU,solar_30k,Adam,MAE,0.001,12,4,0.964927951905412
14,100,generation,GRU,solar_30k,Adam,MAE,0.001,12,4,0.9664647410106619
14,200,generation,GRU,solar_30k,Adam,MAE,0.001,12,4,0.9600897986982332
14,400,generation,GRU,solar_30k,Adam,MAE,0.001,12,4,0.9428453822288779
15,50,generation,GRU,solar_30k,Adam,MAE,0.001,24,2,0.9615702484034919
15,100,generation,GRU,solar_30k,Adam,MAE,0.001,24,2,0.968952232212808
15,200,generation,GRU,solar_30k,Adam,MAE,0.001,24,2,0.973267792905758
15,400,generation,GRU,solar_30k,Adam,MAE,0.001,24,2,0.968306140896315
16,50,generation,GRU,solar_30k,Adam,MAE,0.001,24,4,0.9675402256677701
16,100,generation,GRU,solar_30k,Adam,MAE,0.001,24,4,0.9701487903522745
16,200,generation,GRU,solar_30k,Adam,MAE,0.001,24,4,0.9610607021537184
16,400,generation,GRU,solar_30k,Adam,MAE,0.001,24,4,0.9501635453865287
17,50,generation,GRU,solar_30k,Adam,MAE,0.001,36,2,0.9597007668659088
17,100,generation,GRU,solar_30k,Adam,MAE,0.001,36,2,0.9679284128875958
17,200,generation,GRU,solar_30k,Adam,MAE,0.001,36,2,0.969751329452798
17,400,generation,GRU,solar_30k,Adam,MAE,0.001,36,2,0.9596657870308044
